driverId,week,hours-logged,miles-logged

714,16,57,1300

215,9,66,1000

672,7,53,3400

196,39,74,0

388,19,64,2900

171,26,60,600

695,35,51,2700

176,24,71,3900

685,15,68,1900

939,15,63,3700

394,19,60,3700

973,52,52,1600

28,35,63,3600

72,48,50,1100

418,12,74,100

187,27,57,700

179,15,59,2600

760,7,57,1900

762,31,50,700

35,19,77,3300

652,3,62,100

893,28,76,3200

143,4,72,1300

439,26,71,2800

985,15,61,600

445,44,62,2500

466,4,50,1200

764,5,78,1500

290,16,65,2000

608,6,55,2600

68,35,66,100

108,37,56,800

581,6,71,1000

878,13,56,1300

721,42,56,2100

203,44,53,400

765,13,78,0

684,32,68,3700

125,26,52,2900

412,13,58,2700

191,41,77,200

534,25,74,3300

482,34,72,1200

592,26,56,3400

952,16,54,3400

623,33,67,3900

496,38,51,2700

415,41,52,200

568,46,53,2400

322,42,50,200

399,36,66,1200

755,15,68,3000

770,33,69,500

808,52,50,1500

801,31,80,1100

436,32,56,2500

213,16,52,3000

389,23,56,4000

589,20,72,2400

689,7,51,3000

639,6,78,2600

979,12,75,900

770,45,67,3800

855,21,52,800

674,13,66,500

493,11,63,1700

619,47,63,2400

853,51,74,700

196,49,58,3400

845,16,69,3200

601,32,55,3800

458,5,58,900

987,20,80,3200

623,35,67,600

313,47,62,500

900,11,66,2000

292,52,78,4000

92,23,68,1600

950,12,58,3500

13,40,55,2800

880,21,75,3300

758,36,77,4000

907,47,79,600

206,13,75,300

562,36,78,300

957,42,52,2700

618,43,78,3400

56,22,50,2300

340,11,69,3000

229,15,68,900

172,20,56,2100

527,38,68,3400

459,41,77,800

874,12,73,2900

504,6,79,400

327,26,59,1500

59,30,56,900

82,32,55,1000

674,47,60,2400

539,28,73,2600

811,49,66,3100

444,49,55,1600

454,33,51,1100

886,39,76,3000

527,32,77,100

408,13,66,2200

469,3,65,3300

205,42,64,3200

525,36,53,600

37,31,53,1400

249,25,80,2000

363,21,61,3800

403,8,78,2800

638,36,80,800

508,2,62,3200

71,23,73,1300

482,38,73,0

652,42,53,400

731,44,68,2200

512,19,51,3700

316,44,57,1000

730,29,60,3100

224,18,58,2300

638,34,79,1200

60,47,58,3000

479,10,77,2400

888,11,64,1600

846,5,61,3400

66,48,79,3800

411,24,58,2500

903,13,56,200

898,45,67,2400

65,34,54,3700

804,19,79,3900

43,33,57,1400

530,45,69,300

196,29,80,3400

371,16,56,3400

315,42,57,300

818,19,62,1000

199,19,72,500

537,15,70,700

1003,40,60,500

218,40,67,2800

19,17,76,2700

883,50,65,0

569,24,69,500

447,24,58,400

222,5,57,2000

682,17,80,3500

182,33,78,900

879,14,51,3800

278,9,79,2200

898,48,76,3500

609,39,64,200

844,15,56,1300

472,35,71,2500

651,20,73,500

532,49,72,2400

823,43,75,2400

491,32,68,2200

938,44,79,3100

926,4,76,1000

213,47,54,2400

147,19,55,1400

983,40,64,300

226,45,52,3300

159,41,61,3700

558,1,59,1200

81,36,71,2400

530,47,50,2300

862,43,73,3600

180,31,52,2800

487,49,59,2400

305,38,67,500

376,21,58,2900

246,4,51,1600

432,18,65,1500

865,4,50,2400

759,23,78,3400

317,49,53,3100

623,17,80,2900

30,5,73,2500

533,25,79,100

560,45,57,3200

686,11,71,1500

923,38,63,200

281,3,71,2400

928,19,66,2200

245,23,67,3000

261,30,71,1900

196,21,72,2600

245,12,76,3800

63,6,62,1600

153,35,59,2600

48,40,55,1800

758,4,68,3400

